iter	RMSE
0	435.8876071
1	427.5228782
2	418.4724348
3	410.8259153
4	402.7942489
5	394.5530154
6	386.7445816
7	379.8786965
8	373.0350079
9	366.0454307
10	359.3757524
11	352.9324973
12	346.6296959
13	340.3926191
14	334.5492673
15	328.9368574
16	323.805897
17	318.4459743
18	313.178841
19	308.7828742
20	303.9365937
21	299.2583201
22	294.910852
23	290.5414189
24	286.3482144
25	282.2895255
26	278.5369898
27	275.0044204
28	271.4298789
29	268.1710796
30	265.1509712
31	261.6331336
32	258.1253758
33	255.27102
34	252.0903787
35	249.7133784
36	246.8997246
37	244.4067057
38	241.8853832
39	239.5080954
40	237.2308099
41	234.8361811
42	232.7217307
43	230.5199204
44	228.6160171
45	226.6497716
46	224.8166886
47	223.0459136
48	221.2267192
49	219.8069862
50	217.916388
51	216.2380827
52	214.6207373
53	212.9501467
54	211.3183203
55	209.7208353
56	208.2415578
57	207.1705555
58	205.9227673
59	204.6438718
60	203.3446099
61	202.3042718
62	201.1661377
63	200.1689678
64	199.2388703
65	198.3445245
66	197.4482327
67	196.4378252
68	195.3470105
69	194.4406237
70	193.7384653
71	192.9689609
72	192.3783265
73	191.4397086
74	190.4864052
75	189.8658709
76	189.1597161
77	188.6044258
78	187.9142617
79	187.3779011
80	186.748545
81	186.2364005
82	185.7148111
83	185.2542526
84	184.7344216
85	184.2935468
86	183.8752091
87	183.4535747
88	183.1318671
89	182.6249945
90	182.178785
91	181.6968705
92	181.3280672
93	180.8974051
94	180.5958032
95	180.2402912
96	179.9293144
97	179.5035696
98	179.2240291
99	178.875303
100	178.6085118
101	178.3340926
102	178.0795333
103	177.8329909
104	177.5801583
105	177.2582575
106	177.0025806
107	176.7427773
108	176.540549
109	176.2629046
110	176.0448951
111	175.7743357
112	175.520485
113	175.406563
114	175.2027327
115	175.0705517
116	174.8202189
117	174.5933231
118	174.3437578
119	174.2112183
120	174.0715363
121	173.9509236
122	173.8489003
123	173.746475
124	173.5273432
125	173.2523632
126	173.1789477
127	173.0619522
128	172.9754458
129	172.8411936
130	172.6184492
131	172.300593
132	172.1202176
133	171.9952545
134	171.9093583
135	171.750163
136	171.689244
137	171.5762214
138	171.4429629
139	171.3313082
140	171.0935641
141	170.9872601
142	170.8576761
143	170.8291808
144	170.7046297
145	170.663886
146	170.5355823
147	170.4769911
148	170.4356863
149	170.2937681
150	170.1965771
151	170.1249858
152	170.0585622
153	170.0074163
154	169.9932352
155	169.8852607
156	169.8325777
157	169.7570537
158	169.6711664
159	169.6487435
160	169.5510216
161	169.5050164
162	169.3128647
163	169.1875869
164	169.1318033
165	169.0942103
166	168.9673442
167	168.8538781
168	168.8196124
169	168.7278627
170	168.6507805
171	168.5783683
172	168.5068428
173	168.4749679
174	168.3795692
175	168.3420686
176	168.3143615
177	168.2480919
178	168.2456046
179	168.201244
180	168.157775
181	167.7827562
182	167.759765
183	167.7413115
184	167.7189381
185	167.6893177
186	167.6788928
187	167.6456332
188	167.4646542
189	167.3447344
190	167.3262399
191	167.248036
192	167.2386102
193	167.2299353
194	167.2228234
195	167.1962357
196	167.184529
197	167.1126624
198	167.0505795
199	166.6923203
200	166.3307073
201	166.3210909
202	166.3023469
203	166.2986032
204	166.2785016
205	166.1293578
206	165.9565872
207	165.8748267
208	165.6737708
209	165.666955
210	165.3009754
211	165.2404776
212	165.2122835
213	165.2112223
214	165.2008329
215	165.0953488
216	165.0487316
217	164.9850374
218	164.9594215
219	164.937726
220	164.9344587
221	164.8892509
222	164.8190093
223	164.8182716
224	164.4971089
225	164.4836988
226	164.455658
227	164.448429
228	164.4440178
229	164.435068
230	164.4267974
231	164.415152
232	164.4104948
233	164.3942137
234	164.3902419
235	164.3808704
236	164.3698433
237	164.3630653
238	164.3429247
239	164.3051756
240	164.297186
241	163.8868427
242	163.7102238
243	163.6523023
244	163.6299137
245	163.6238531
246	163.6238199
247	163.6235458
248	163.4072807
249	163.3692735
250	163.3490369
251	163.3483552
252	163.3382616
253	163.1969893
254	163.159615
255	162.9276888
256	162.8707416
257	162.8687852
258	162.8228823
259	162.8137344
260	162.4789746
261	162.4325106
262	162.4324092
263	162.4209466
264	162.3811607
265	162.3800251
266	162.3744487
267	162.0279959
268	162.0169328
269	161.9874697
270	161.7661251
271	161.765655
272	161.7508746
273	161.7508627
274	161.568972
275	161.5399058
276	161.5066214
277	161.4711552
278	161.4693487
279	161.4676416
280	161.4650989
281	161.3471212
282	161.1366666
283	161.1348693
284	161.1308967
285	161.1262705
286	161.113399
287	160.835919
288	160.8347166
289	160.8328189
290	160.8128088
291	160.697516
292	160.6856622
293	160.6794558
294	160.6775529
295	160.6421161
296	160.6389623
297	160.6361159
298	160.3507711
299	160.3486406
300	160.3157453
301	160.1715471
302	160.1098079
303	160.0167293
304	159.9844253
305	159.9185518
306	159.8919284
307	159.8891071
308	159.8812579
309	159.8293886
310	159.8132418
311	159.729898
312	159.7125645
313	159.7040719
314	159.4867813
315	158.9513422
316	158.9443922
317	158.9381134
318	158.9301632
319	158.9256707
320	158.9251015
321	158.9074435
322	158.8846989
323	158.8567755
324	158.8567675
325	158.8567642
326	158.8492941
327	158.8479884
328	158.8297968
329	158.7732464
330	158.769498
331	158.6044638
332	158.5837474
333	158.5110463
334	158.5080457
335	158.4998131
336	158.4890183
337	158.3040565
338	158.3029997
339	158.2523139
340	158.2017203
341	158.1604235
342	158.1603614
343	158.1561045
344	158.1297266
345	158.0982993
346	158.0660918
347	158.0476275
348	157.9588702
349	157.9420337
350	157.941402
351	157.9343598
352	157.9329166
353	157.9315346
354	157.9233098
355	157.8861489
356	157.8848191
357	157.8335604
358	157.7504464
359	157.720387
360	157.7116464
361	157.7043339
362	157.6504241
363	157.5044365
364	157.489218
365	157.2777887
366	157.2734798
367	157.2714659
368	157.2709797
369	157.2206836
370	157.2126237
371	157.196147
372	157.1311667
373	157.1308192
374	156.948385
375	156.9460122
376	156.8127721
377	156.5491532
378	156.5491531
379	156.5472472
380	156.5138221
381	156.5118775
382	156.511607
383	156.5082099
384	156.5079887
385	156.4883802
386	156.4794591
387	156.4792428
388	156.4025284
389	156.4023229
390	156.4021308
391	156.4019439
392	156.3999421
393	156.3924902
394	156.3384235
395	156.3353864
396	156.3347961
397	156.3275936
398	156.3274551
399	156.3273123
400	156.3199039
401	155.9816967
402	155.9787326
403	155.9787323
404	155.978732
405	155.8011009
406	155.7982843
407	155.785746
408	155.7472554
409	155.7444174
410	155.744242
411	155.7442418
412	155.7316893
413	155.6706676
414	155.626809
415	155.6266327
416	155.6193857
417	155.5960655
418	155.5893425
419	155.5891773
420	155.5828243
421	155.5222953
422	155.5209678
423	155.4986181
424	155.4971231
425	155.2387114
426	155.1813067
427	155.1812168
428	155.1772316
429	155.1770394
430	155.1747367
431	155.1470736
432	155.1449189
433	155.131664
434	155.1316106
435	155.1287751
436	154.7194319
437	154.7192438
438	154.7190665
439	154.7153949
440	154.7143299
441	154.7141858
442	154.7141553
443	154.7139515
444	154.7122797
445	154.6709153
446	154.6520944
447	154.6393752
448	154.6393621
449	154.6382429
450	154.6142931
451	154.6085393
452	154.607047
453	154.6068257
454	154.6067204
455	154.6053689
456	154.4011658
457	154.4011628
458	154.3998758
459	154.3970298
460	154.3970284
461	154.3970271
462	154.380813
463	154.375247
464	154.3226258
465	154.3226224
466	154.3225534
467	154.2360574
468	154.2360567
469	154.236056
470	154.2359334
471	154.235869
472	154.2337993
473	154.2332236
474	154.2081745
475	154.1884803
476	154.1884801
477	154.1698852
478	154.1698852
479	154.1698197
480	154.1697256
481	154.1695214
482	154.1695214
483	154.1678944
484	154.1677019
485	154.167648
486	154.1675489
487	154.1626399
488	154.1625899
489	154.156222
490	154.1561794
491	154.1561392
492	154.1546777
493	154.1258462
494	154.0996101
495	154.0963717
496	154.0963285
497	154.0895681
498	154.0895519
499	154.0874956
500	154.0826902
501	154.0678379
502	154.0678206
503	154.06752
504	154.0672346
505	154.0669635
506	154.065655
507	154.0656271
508	154.0652971
509	153.8322791
510	153.8239913
511	153.8239913
512	153.8193791
513	153.7978186
514	153.794941
515	153.6923186
516	153.6922965
517	153.6920506
518	153.5791726
519	153.5790982
520	153.5778598
521	153.5732463
522	153.5732086
523	153.559059
524	153.5443345
525	153.5442377
526	153.5318942
527	153.5318094
528	153.5317687
529	153.5317303
530	153.5316406
531	153.5208099
532	153.5208099
533	153.5199048
534	153.519866
535	153.47597
536	153.4759409
537	153.4748135
538	153.4747752
539	153.4736347
540	153.4734525
541	153.4726007
542	153.4725666
543	153.4725345
544	153.40929
545	153.4092387
546	153.4091635
547	153.4046911
548	153.4045683
549	153.4045243
550	153.4045037
551	153.4045036
552	153.3956161
553	153.3898969
554	153.3685158
555	153.3675292
556	153.2121551
557	153.2085669
558	153.2085037
559	153.2074721
560	153.0636339
561	152.9106526
562	152.8623072
563	152.8379071
564	152.8378647
565	152.79546
566	152.7954426
567	152.7954418
568	152.7925878
569	152.7822091
570	152.778942
571	152.778923
572	152.7483471
573	152.7456684
574	152.7456552
575	152.7433454
576	152.648242
577	152.6482196
578	152.6481985
579	152.4076932
580	152.4076849
581	152.4076771
582	152.4031569
583	152.4031233
584	152.3957456
585	152.3956577
586	152.3956573
587	152.3956278
588	152.3848734
589	152.2982957
590	152.2901515
591	152.2809919
592	152.257481
593	152.2171453
594	152.2171221
595	152.0392038
596	152.0359444
597	152.0359443
598	152.0359442
599	151.9942204
600	151.9871001
601	151.9572772
602	151.9572596
603	151.9572596
604	151.9537906
605	151.8337774
606	151.7712379
607	151.7680284
608	151.7679298
609	151.6601217
610	151.4255378
611	151.4255319
612	151.3941909
613	151.3941833
614	151.3557758
615	151.2994603
616	151.2994368
617	151.2601777
618	151.2598912
619	151.0668462
620	150.9668125
621	150.9665483
622	150.9665483
623	150.9640956
624	150.9558909
625	150.954017
626	150.9539487
627	150.9319093
628	150.9318562
629	150.9318469
630	150.9084526
631	150.865599
632	150.8655772
633	150.8165133
634	150.8165132
635	150.7490325
636	150.5238789
637	150.5172512
638	150.517251
639	150.5104821
640	150.5090776
641	150.2565821
642	150.2565439
643	150.2466452
644	150.230719
645	150.2306569
646	150.0986271
647	150.0614895
648	150.0614533
649	150.0455943
650	150.0455341
651	149.917577
652	149.8193196
653	149.8193196
654	149.8192896
655	149.7881727
656	149.7881727
657	149.7881414
658	149.7881072
659	149.7880507
660	149.7879974
661	149.787997
662	149.7376545
663	149.7372747
664	149.7365062
665	149.7364731
666	149.7324826
667	149.6773475
668	149.6770261
669	149.429785
670	149.4228797
671	149.4095447
672	149.4095446
673	149.403942
674	149.3674534
675	149.2504435
676	149.1640331
677	149.1208825
678	149.0369395
679	149.0365622
680	149.0159454
681	149.0159076
682	148.9763554
683	148.9541291
684	148.9485192
685	148.9484703
686	148.9483919
687	148.948367
688	148.8586831
689	148.7534663
690	148.7291844
691	148.6343939
692	148.6343937
693	148.6329434
694	148.6325964
695	148.6033741
696	148.6033717
697	148.5777735
698	148.4102427
699	148.4066371
700	148.4039065
701	148.3958261
702	148.3507739
703	148.3396386
704	148.2275075
705	148.2266677
706	148.2266556
707	148.2266553
708	148.2042268
709	148.2003695
710	148.2003591
711	148.1784373
712	148.1784241
713	148.1186702
714	148.1142596
715	148.1142591
716	148.1112099
717	147.9574884
718	147.953045
719	147.9530444
720	147.9530438
721	147.95302
722	147.9084975
723	147.908492
724	147.9084915
725	147.9024223
726	147.9024219
727	147.8676791
728	147.8676787
729	147.8643141
730	147.8643137
731	147.7740673
732	147.7682736
733	147.7589778
734	147.758366
735	147.7401376
736	147.7376892
737	147.6843625
738	147.6530301
739	147.6354739
740	147.6078043
741	147.6078034
742	147.6051626
743	147.6021858
744	147.602185
745	147.5834236
746	147.5471048
747	147.5471039
748	147.5415765
749	147.5244098
750	147.4658638
751	147.4638312
752	147.4560166
753	147.4560151
754	147.4552624
755	147.3981053
756	147.3924704
757	147.3772824
758	147.3736629
759	147.3736614
760	147.2881173
761	147.2881053
762	147.2881041
763	147.2744705
764	147.2744665
765	147.2721934
766	147.2695694
767	147.2695612
768	147.1758596
769	147.1756901
770	147.175623
771	147.173915
772	147.1739143
773	147.1732696
774	147.153823
775	147.1358255
776	147.1110567
777	147.1110562
778	147.1110557
779	147.1093641
780	147.109293
781	147.1063776
782	147.1060409
783	147.1059185
784	147.1014982
785	147.101498
786	147.1014978
787	147.1014976
788	147.0999115
789	147.0999113
790	147.0999112
791	147.0996167
792	147.0410525
793	147.0410524
794	147.0410523
795	147.0271836
796	147.0271835
797	147.0271722
798	147.0255983
799	147.0240628
800	147.0154074
801	147.0154074
802	147.0154073
803	147.0154073
804	146.9858025
805	146.96077
806	146.8365935
807	146.8331208
808	146.8331208
809	146.8159081
810	146.815851
811	146.7918993
812	146.7918938
813	146.7918938
814	146.7918007
815	146.7914088
816	146.791078
817	146.7910257
818	146.7621389
819	146.7621388
820	146.6627627
821	146.6627626
822	146.6610953
823	146.6609501
824	146.641246
825	146.6221296
826	146.6221295
827	146.6079832
828	146.6079831
829	146.5977333
830	146.5973112
831	146.5972906
832	146.5958672
833	146.5958671
834	146.5958671
835	146.5823243
836	146.5823044
837	146.5822845
838	146.4906832
839	146.4896195
840	146.4896194
841	146.4886161
842	146.4619677
843	146.4619247
844	146.4619245
845	146.3542483
846	146.3542482
847	146.3533479
848	146.340158
849	146.2650852
850	146.265085
851	146.2650833
852	146.2650831
853	146.2313736
854	146.1769979
855	146.1769914
856	146.1737596
857	146.1737556
858	146.1737519
859	146.1723859
860	146.1689873
861	146.1689873
862	146.1657033
863	146.1627339
864	146.1355201
865	146.1325934
866	146.1323705
867	146.1199552
868	145.9659251
869	145.965925
870	145.9659205
871	145.9659183
872	145.9659168
873	145.9659128
874	145.9659127
875	145.9659127
876	145.9659126
877	145.9659125
878	145.9630402
879	145.9509358
880	145.9471907
881	145.9463324
882	145.9448913
883	145.9137185
884	145.9137184
885	145.8831636
886	145.8831636
887	145.7234068
888	145.7234067
889	145.7229882
890	145.7229881
891	145.722987
