iter	Passed	Remaining
0	65	65099
1	75	37617
2	79	26335
3	81	20391
4	84	16914
5	87	14474
6	90	12863
7	94	11725
8	98	10816
9	101	10012
10	105	9442
11	108	8926
12	112	8529
13	115	8141
14	119	7838
15	122	7551
16	131	7631
17	136	7444
18	140	7268
19	144	7078
20	147	6883
21	150	6711
22	154	6556
23	157	6401
24	160	6272
25	163	6137
26	166	5985
27	167	5826
28	171	5729
29	180	5834
30	184	5773
31	188	5699
32	192	5628
33	196	5586
34	205	5679
35	211	5650
36	214	5595
37	218	5541
38	221	5465
39	226	5428
40	230	5394
41	233	5314
42	234	5222
43	237	5171
44	241	5121
45	248	5148
46	254	5157
47	257	5114
48	261	5070
49	264	5031
50	269	5009
51	272	4969
52	279	4990
53	282	4953
54	286	4922
55	289	4874
56	292	4831
57	295	4801
58	299	4768
59	301	4718
60	304	4683
61	307	4651
62	310	4624
63	312	4574
64	316	4548
65	325	4611
66	330	4600
67	334	4581
68	337	4557
69	341	4533
70	345	4515
71	348	4494
72	351	4465
73	355	4443
74	358	4415
75	359	4372
76	362	4349
77	366	4329
78	369	4309
79	371	4269
80	374	4248
81	376	4210
82	378	4186
83	382	4169
84	384	4140
85	387	4118
86	391	4103
87	394	4087
88	397	4067
89	401	4059
90	403	4034
91	407	4020
92	410	4002
93	413	3988
94	415	3956
95	418	3940
96	420	3913
97	423	3900
98	426	3884
99	428	3857
100	431	3841
101	433	3815
102	436	3804
103	441	3799
104	445	3795
105	448	3786
106	453	3780
107	456	3768
108	459	3757
109	462	3743
110	465	3728
111	470	3728
112	473	3713
113	476	3703
114	480	3695
115	483	3682
116	486	3669
117	490	3663
118	492	3643
119	493	3619
120	497	3612
121	499	3592
122	501	3572
123	502	3551
124	506	3545
125	509	3534
126	511	3518
127	515	3511
128	517	3496
129	520	3486
130	524	3478
131	527	3471
132	531	3464
133	534	3452
134	537	3444
135	539	3429
136	542	3419
137	546	3416
138	550	3407
139	553	3399
140	556	3393
141	561	3391
142	563	3375
143	564	3356
144	567	3347
145	569	3330
146	573	3325
147	574	3306
148	576	3290
149	579	3284
150	581	3272
151	584	3261
152	588	3255
153	590	3245
154	592	3228
155	594	3217
156	597	3210
157	600	3202
158	603	3192
159	605	3177
160	608	3172
161	611	3162
162	614	3153
163	617	3146
164	620	3140
165	623	3134
166	627	3128
167	630	3121
168	633	3116
169	636	3109
170	648	3145
171	651	3134
172	654	3129
173	658	3124
174	661	3117
175	663	3105
176	664	3091
177	667	3084
178	669	3071
179	672	3064
180	675	3057
181	678	3050
182	680	3036
183	683	3028
184	684	3016
185	688	3011
186	689	2999
187	691	2988
188	694	2981
189	697	2974
