,dataset,participant,muscle,test,mvc
0,Romain2017,0,upper trapezius,test 00,0.0003809914977206763
1,Romain2017,0,upper trapezius,test 03,0.00029953927150819394
2,Romain2017,0,upper trapezius,test 04,0.0003476472778443977
3,Romain2017,0,upper trapezius,test 05,0.0001113192774647897
4,Romain2017,0,upper trapezius,test 08,0.00024927621169958374
5,Romain2017,0,upper trapezius,test 09,3.60306039645833e-05
6,Romain2017,0,upper trapezius,test 10,1.075067069933969e-05
7,Romain2017,0,upper trapezius,test 13,0.00016226678154411273
8,Romain2017,0,anterior deltoid,test 00,0.00047131340536352693
9,Romain2017,0,anterior deltoid,test 03,0.00044207595439012574
10,Romain2017,0,anterior deltoid,test 04,0.00042973052532084343
11,Romain2017,0,anterior deltoid,test 05,9.551906776879482e-06
12,Romain2017,0,anterior deltoid,test 08,0.0002372945594347591
13,Romain2017,0,anterior deltoid,test 09,1.2528247029468701e-05
14,Romain2017,0,anterior deltoid,test 10,2.147756065367413e-05
15,Romain2017,0,anterior deltoid,test 13,0.0003726420024642734
16,Romain2017,0,middle deltoid,test 00,0.00015830245903909114
17,Romain2017,0,middle deltoid,test 03,0.0001359953357132363
18,Romain2017,0,middle deltoid,test 04,0.0001502330043219225
19,Romain2017,0,middle deltoid,test 05,6.5098942810758e-05
20,Romain2017,0,middle deltoid,test 08,0.00011977511605327018
21,Romain2017,0,middle deltoid,test 09,2.69668353804569e-05
22,Romain2017,0,middle deltoid,test 10,1.9383377644062015e-05
23,Romain2017,0,middle deltoid,test 13,3.351920927128437e-05
24,Romain2017,0,posterior deltoid,test 00,8.207253659393803e-05
25,Romain2017,0,posterior deltoid,test 03,5.0754049663484034e-05
26,Romain2017,0,posterior deltoid,test 04,7.598297275710362e-05
27,Romain2017,0,posterior deltoid,test 05,0.00026771382326409664
28,Romain2017,0,posterior deltoid,test 08,8.719693916133543e-05
29,Romain2017,0,posterior deltoid,test 09,0.00016088396237232878
30,Romain2017,0,posterior deltoid,test 10,1.4423546903008568e-05
31,Romain2017,0,posterior deltoid,test 13,9.286420186731752e-06
32,Romain2017,0,pectoralis major,test 00,1.1570158955523305e-05
33,Romain2017,0,pectoralis major,test 03,6.304729793357349e-05
34,Romain2017,0,pectoralis major,test 04,2.094120429649335e-05
35,Romain2017,0,pectoralis major,test 05,2.6871076495800648e-05
36,Romain2017,0,pectoralis major,test 08,8.408207827154345e-06
37,Romain2017,0,pectoralis major,test 09,1.0534766176828397e-05
38,Romain2017,0,pectoralis major,test 10,5.11630961099798e-05
39,Romain2017,0,pectoralis major,test 13,7.888420009844497e-05
40,Romain2017,0,supraspinatus,test 00,0.00042191263178733895
41,Romain2017,0,supraspinatus,test 03,0.00025771921969253397
42,Romain2017,0,supraspinatus,test 04,0.00045342323916309606
43,Romain2017,0,supraspinatus,test 05,0.0003603661413394679
44,Romain2017,0,supraspinatus,test 08,0.00024784284158892357
45,Romain2017,0,supraspinatus,test 09,0.00016272940595515165
46,Romain2017,0,supraspinatus,test 10,3.1585308490213094e-05
47,Romain2017,0,supraspinatus,test 13,0.00011339347720110524
48,Romain2017,0,infraspinatus,test 00,0.00014754864059633935
49,Romain2017,0,infraspinatus,test 03,0.00017465736203771132
50,Romain2017,0,infraspinatus,test 04,0.0001662226112713314
51,Romain2017,0,infraspinatus,test 05,8.297498937351483e-05
52,Romain2017,0,infraspinatus,test 08,0.00011709969184779575
53,Romain2017,0,infraspinatus,test 09,0.00018415862763358336
54,Romain2017,0,infraspinatus,test 10,1.0703724108830108e-05
55,Romain2017,0,infraspinatus,test 13,6.606737739278266e-05
56,Romain2017,0,subscapularis,test 00,3.95899945813801e-05
57,Romain2017,0,subscapularis,test 03,4.196492312027851e-05
58,Romain2017,0,subscapularis,test 04,3.1972096252362713e-05
59,Romain2017,0,subscapularis,test 05,0.0005106231405925885
60,Romain2017,0,subscapularis,test 08,0.0002187085281084958
61,Romain2017,0,subscapularis,test 09,0.0002355579991004607
62,Romain2017,0,subscapularis,test 10,8.78225025898795e-05
63,Romain2017,0,subscapularis,test 13,5.586126710281679e-05
64,Romain2017,1,upper trapezius,test 00,0.00018418071536352375
65,Romain2017,1,upper trapezius,test 03,0.00015240390731736893
66,Romain2017,1,upper trapezius,test 04,0.00014122121306335734
67,Romain2017,1,upper trapezius,test 05,0.00011013709935053764
68,Romain2017,1,upper trapezius,test 08,0.00014590952657570343
69,Romain2017,1,upper trapezius,test 09,2.421511842470319e-05
70,Romain2017,1,upper trapezius,test 10,2.494615296193108e-05
71,Romain2017,1,upper trapezius,test 13,0.0001462447205057387
72,Romain2017,1,anterior deltoid,test 00,0.0006025325341598514
73,Romain2017,1,anterior deltoid,test 03,0.0002601273973182393
74,Romain2017,1,anterior deltoid,test 04,0.0002652804698247605
75,Romain2017,1,anterior deltoid,test 05,1.645389624179285e-05
76,Romain2017,1,anterior deltoid,test 08,0.00014432547398273202
77,Romain2017,1,anterior deltoid,test 09,1.958032422782787e-05
78,Romain2017,1,anterior deltoid,test 10,1.2266197447710223e-05
79,Romain2017,1,anterior deltoid,test 13,9.273658999339308e-05
80,Romain2017,1,middle deltoid,test 00,0.00018663181850359138
81,Romain2017,1,middle deltoid,test 03,0.0001275087675292137
82,Romain2017,1,middle deltoid,test 04,0.0001576791284074513
83,Romain2017,1,middle deltoid,test 05,7.990222006748203e-05
84,Romain2017,1,middle deltoid,test 08,0.00010693360675760817
85,Romain2017,1,middle deltoid,test 09,5.51241314764283e-05
86,Romain2017,1,middle deltoid,test 10,7.4404035984725915e-06
87,Romain2017,1,middle deltoid,test 13,1.576203103667625e-05
88,Romain2017,1,posterior deltoid,test 00,0.00019313044471351885
89,Romain2017,1,posterior deltoid,test 03,0.0001458356026306471
90,Romain2017,1,posterior deltoid,test 04,0.0002448596523480846
91,Romain2017,1,posterior deltoid,test 05,0.0003800453631439604
92,Romain2017,1,posterior deltoid,test 08,0.000173061591035507
93,Romain2017,1,posterior deltoid,test 09,0.00025603579187239106
94,Romain2017,1,posterior deltoid,test 10,3.13324619648188e-05
95,Romain2017,1,posterior deltoid,test 13,1.1091975837827547e-05
96,Romain2017,1,pectoralis major,test 00,6.196465143459648e-06
97,Romain2017,1,pectoralis major,test 03,1.5267918653580003e-05
98,Romain2017,1,pectoralis major,test 04,5.365359735224248e-06
99,Romain2017,1,pectoralis major,test 05,4.102024706516102e-06
100,Romain2017,1,pectoralis major,test 08,9.275625431261929e-06
101,Romain2017,1,pectoralis major,test 09,7.839108921388452e-06
102,Romain2017,1,pectoralis major,test 10,0.00010452198803911053
103,Romain2017,1,pectoralis major,test 13,8.350329998189377e-05
104,Romain2017,1,supraspinatus,test 00,0.0005891375281977812
105,Romain2017,1,supraspinatus,test 03,0.0006417048944315695
106,Romain2017,1,supraspinatus,test 04,0.000587251601254067
107,Romain2017,1,supraspinatus,test 05,0.000592711674832088
108,Romain2017,1,supraspinatus,test 08,0.00043726437613707936
109,Romain2017,1,supraspinatus,test 09,0.0001862858251056469
110,Romain2017,1,supraspinatus,test 10,6.789385033339852e-05
111,Romain2017,1,supraspinatus,test 13,0.00026951630093502275
112,Romain2017,1,infraspinatus,test 00,4.774306779092079e-05
