,dataset,participant,muscle,test 00,test 01,test 02,test 03,test 04,test 05,test 06,test 07,test 08,test 09,test 10,test 11,test 12,test 13,test 14,test 15
0,Landry2012,46,anterior deltoid,0.01348033228201476,0.060321989630336796,0.10224264162800677,0.2621211583811828,0.21667143565028313,0.007602793877567104,0.009864019637715089,0.03052279623805004,,,,,,,,
1,Landry2012,46,latissimus dorsi,0.003967544052685154,0.07767221481069113,0.019619211871645167,0.02414449415597853,0.02156903449685014,0.1517343650339164,0.14533712897230672,0.06069389282555682,,,,,,,,
2,Landry2012,46,lower trapezius,0.02509178588234505,0.20532074879595336,0.3007612958092112,0.17029570386085344,0.1912707661746667,0.07019908010148787,0.1405046892973462,0.017468298816409843,,,,,,,,
3,Landry2012,46,middle deltoid,0.02873055051239578,0.14517374107018854,0.17046808628614815,0.08586124010495488,0.12118054363920457,0.03575387307999896,0.009872021805415838,0.011395894686753736,,,,,,,,
4,Landry2012,46,middle trapezius,0.011082594498459282,0.13562608871958481,0.13088961955350523,0.04264973963659092,0.06261455659306288,0.04649938005884942,0.040964424758369956,0.016393569323912963,,,,,,,,
5,Landry2012,46,pectoralis major,0.0019642833826639355,0.00408776107991899,0.004807745275969962,0.007161610390178949,0.00796343134797554,0.005317370401360626,0.059721078669004696,0.17754575362973796,,,,,,,,
6,Landry2012,46,posterior deltoid,0.013958279679960967,0.17854062346877522,0.15768432688174813,0.07823556540811888,0.08794460108486851,0.08412148931406886,0.030646523330235875,0.03140835938603662,,,,,,,,
7,Landry2012,46,upper trapezius,0.045527216082132865,0.06522463978700997,0.05968886980859753,0.08165924762675714,0.10418415963686617,0.02447161777219014,0.014293782226675298,0.012183494382928548,,,,,,,,
8,Landry2012,47,anterior deltoid,0.3129344571233087,0.04185651016880381,0.10159538267188357,0.3322046102355126,0.29342216334268834,0.07281399435780359,0.007218288621696861,0.12766749714545797,,,,,,,,
9,Landry2012,47,latissimus dorsi,0.011168587555367005,0.08558258279455053,0.03719435998385491,0.0136931384618874,0.013131954710508542,0.16902810751653877,0.13094250076870229,0.029250299597904872,,,,,,,,
10,Landry2012,47,lower trapezius,0.08170602534246234,0.10193418077076427,0.10320105112211683,0.06496895607504025,0.07591635911628071,0.12612801588042677,0.10210100696875195,0.05846896664963237,,,,,,,,
11,Landry2012,47,middle deltoid,0.10957372679557778,0.10691494139764632,0.13147424453719322,0.07629713050308196,0.14244221027817272,0.16955693980186062,0.009691278017819447,0.012207577601080145,,,,,,,,
12,Landry2012,47,middle trapezius,0.23002294112088237,0.22377070469262,0.2521400690596782,0.21554619183922194,0.2804986516105137,0.257516442607922,0.10795551864994324,0.07386531015333195,,,,,,,,
13,Landry2012,47,pectoralis major,0.007807166744034664,0.003670914316062877,0.0053421269521181335,0.03501182649545167,0.008314187566188406,0.004354579585217382,0.06757158588417415,0.22226013437496878,,,,,,,,
14,Landry2012,47,posterior deltoid,0.05290343629347753,0.17885221201736007,0.12478948822133629,0.044464660567978674,0.08458281654429649,0.18755237984995565,0.08561067978422779,0.020611241265760888,,,,,,,,
15,Landry2012,47,upper trapezius,0.32091549080042897,0.21849061520700397,0.24848734634075711,0.25640207251316066,0.3244623808646944,0.2155704587194024,0.014737079399331223,0.04058992853115228,,,,,,,,
16,Landry2012,48,anterior deltoid,0.15054004305073038,0.110993159544101,0.18285111797072806,0.30499935073218154,0.19987447377026396,0.012774778567074605,0.008707163240627282,0.20186688204872635,,,,,,,,
17,Landry2012,48,latissimus dorsi,0.016768928249218905,0.04886532166997503,0.03752858067327508,0.030283435893010528,0.018196303164950144,0.1150812883565384,0.11258292350147701,0.03952397445405013,,,,,,,,
18,Landry2012,48,lower trapezius,0.14461198810710327,0.23447982511859475,0.24062850011059636,0.24633578354472646,0.19420277514392853,0.043741056026715616,0.09112687802622585,0.13752703546795642,,,,,,,,
19,Landry2012,48,middle deltoid,0.10741704215747497,0.1700894928110579,0.16522996887941754,0.07433146145093038,0.12467136632164438,0.07822523874378591,0.04318360308988518,0.028536727169624992,,,,,,,,
20,Landry2012,48,middle trapezius,0.16104773269779687,0.25357304077636184,0.2624069945918975,0.24920171429326846,0.26962111442949943,0.044512800685855,0.10727411641891166,0.13376077898533956,,,,,,,,
21,Landry2012,48,pectoralis major,0.005244479769083035,0.00571832372572302,0.005408652030524248,0.00977322041351519,0.006078675646277659,0.029138705283607125,0.11027840681487554,0.1449103379435885,,,,,,,,
22,Landry2012,48,posterior deltoid,0.025966077389446077,0.10906001463576938,0.09186155593331848,0.04696379912671867,0.05712679349137588,0.11573107776974756,0.0871248952711463,0.042102255217037685,,,,,,,,
23,Landry2012,48,upper trapezius,0.19328953505868476,0.25609198190997096,0.25473690274203975,0.19768260536745746,0.23270580741589084,0.05314608801568417,0.02820457028079889,0.02769229270953076,,,,,,,,
24,Landry2012,49,anterior deltoid,0.1772544541611718,0.08090859203145294,0.1775331991650878,0.15241662826600946,0.19195479122541478,0.025585902241690012,0.019591584411022083,0.08551195566856305,,,,,,,,
25,Landry2012,49,latissimus dorsi,0.018188792580091234,0.016044000560501693,0.013310472977150255,0.016752354686313628,0.01464625079164141,0.04987270004767339,0.05341428513653443,0.013531121107327269,,,,,,,,
26,Landry2012,49,lower trapezius,0.08282315742920594,0.1325391907655018,0.12466834446809509,0.06556834953748282,0.08004379429067947,0.08491806110873165,0.07822350381647646,0.04809200979492321,,,,,,,,
27,Landry2012,49,middle deltoid,0.11062002530123038,0.12997737178707408,0.12474905770658859,0.1343141792921805,0.16584139058833772,0.09287118412134064,0.06495150507801059,0.03477131664674314,,,,,,,,
28,Landry2012,49,middle trapezius,0.07573591104486098,0.18878876009410234,0.07355727157291146,0.11487077576572151,0.15697233511384076,0.11535859227022374,0.10858500319995674,0.050764210804196346,,,,,,,,
29,Landry2012,49,pectoralis major,0.011597129425829982,0.008826899573063656,0.010564778683682649,0.019440584875556916,0.013549339597267332,0.014565603258416163,0.017719847364825382,0.058650062249394654,,,,,,,,
30,Landry2012,49,posterior deltoid,0.0849713778773306,0.08543175908800603,0.06390139382158143,0.06767855898324472,0.08521023380758608,0.08329137892545359,0.08306979958045838,0.03334751193750839,,,,,,,,
31,Landry2012,49,upper trapezius,0.10590901368282353,0.08904082834388996,0.07343675664302181,0.0488790037332917,0.05797267612537921,0.02633478427858134,0.025030471526935875,0.057442709048477536,,,,,,,,
32,Landry2012,50,anterior deltoid,0.212201939972309,0.1468280110314265,0.21323775072568604,0.19457920028699777,0.20129907056306967,0.043522265208381525,0.028666982182538332,0.09935354485583266,,,,,,,,
33,Landry2012,50,latissimus dorsi,0.05599188115184468,0.20648439179425312,0.11559522149871568,0.10494334886833503,0.0643460103061558,0.4521640045960288,0.3717516764347097,0.03265219398998294,,,,,,,,
34,Landry2012,50,lower trapezius,0.3328253828770339,0.36850147407561074,0.4146807864890789,0.347197533157424,0.3341119302215274,0.05387247219076827,0.2611894272357314,0.16680243425877486,,,,,,,,
35,Landry2012,50,middle deltoid,0.23657991795783045,0.2734661222905465,0.24990683655797868,0.14685383219480583,0.1816087287167683,0.19532655947983596,0.15096395865602505,0.03448109978445039,,,,,,,,
